file,structure,label_id,arc_length_mm,cross_section_mm2,distance_from_cranial_mm
seg_10,CCA_left,2,0.0,50.3712,36.0000005364418
seg_10,CCA_left,2,2.0,36.5184,34.436418317136926
seg_10,CCA_left,2,4.0,33.1344,32.909843801163056
seg_10,CCA_left,2,6.0,34.3728,31.301952442136006
seg_10,CCA_left,2,8.0,36.6768,29.59038900786651
seg_10,CCA_left,2,10.0,39.3264,27.768659786716345
seg_10,CCA_left,2,12.0,41.2992,25.8685301503548
seg_10,CCA_left,2,14.0,39.715199999999996,23.888931953461597
seg_10,CCA_left,2,16.0,36.6912,22.03831207018656
seg_10,CCA_left,2,18.0,50.184,20.439219957176018
seg_10,CCA_left,2,20.0,49.7664,18.641590859872377
seg_10,CCA_left,2,22.0,47.361599999999996,16.739361928757805
seg_10,CCA_left,2,24.0,43.6464,14.90355964468267
seg_10,CCA_left,2,26.0,41.4144,13.185533154416168
seg_10,CCA_left,2,28.0,42.3072,11.686928888513076
seg_10,CCA_left,2,30.0,44.294399999999996,10.269445487084447
seg_10,CCA_left,2,32.0,40.1904,8.821681439137935
seg_10,CCA_left,2,34.0,40.0752,7.401413694788918
seg_10,CCA_left,2,36.0,30.5136,6.225528684974521
seg_10,CCA_left,2,38.0,52.459199999999996,5.5871061525430905
seg_10,CCA_left,2,40.0,82.5552,4.948683620111661
seg_10,CCA_left,2,42.0,89.712,4.310261087680224
