file,structure,label_id,arc_length_mm,cross_section_mm2,distance_from_cranial_mm
seg_15,IJV_left,3,0.0,31.406399999999998,36.0000005364418
seg_15,IJV_left,3,2.0,22.9824,34.38431279194461
seg_15,IJV_left,3,4.0,22.795199999999998,32.7441068311026
seg_15,IJV_left,3,6.0,23.9616,31.009505282883158
seg_15,IJV_left,3,8.0,25.1856,29.100237134937945
seg_15,IJV_left,3,10.0,25.2864,27.151322618000304
seg_15,IJV_left,3,12.0,23.976,25.248078329990584
seg_15,IJV_left,3,14.0,23.471999999999998,23.427078666236195
seg_15,IJV_left,3,16.0,23.4576,21.642429208581227
seg_15,IJV_left,3,18.0,23.500799999999998,19.83705301675952
seg_15,IJV_left,3,20.0,22.823999999999998,18.05098896187077
seg_15,IJV_left,3,22.0,22.9824,16.290743071661186
seg_15,IJV_left,3,24.0,22.9968,14.594016451294033
seg_15,IJV_left,3,26.0,24.6816,12.87385181527614
seg_15,IJV_left,3,28.0,26.279999999999998,11.07386870667876
seg_15,IJV_left,3,30.0,26.150399999999998,9.260426990222614
seg_15,IJV_left,3,32.0,26.279999999999998,7.469581446232344
seg_15,IJV_left,3,34.0,24.5232,5.681285963156217
seg_15,IJV_left,3,36.0,23.328,3.910860166741293
